age_cl,anveh_cl,ns_bg,cs_bg,franchise,anc_perm_cl,zone_bg,Formule,id
d.36-50,b.4-11,1,42,OUI,c.11-20,3,Medi,133411
e.51-69,b.4-11,1,43,NON,e.>40,4,Maxi,9046
d.36-50,b.4-11,1,43,NON,c.11-20,2,Maxi,23126
e.51-69,b.4-11,1,43,NON,e.>40,1,Maxi,32058
c.26-35,b.4-11,1,43,NON,c.11-20,3,Maxi,51911
d.36-50,a.0-3,1,43,OUI,e.>40,4,Maxi,101180
b.21-25,b.4-11,1,43,OUI,b.6-10,4,Maxi,169412
c.26-35,b.4-11,1,43,NON,c.11-20,3,Medi,171424
d.36-50,a.0-3,1,43,OUI,e.>40,3,Maxi,180859
b.21-25,b.4-11,1,43,OUI,a.<=5,4,Maxi,184477
e.51-69,c.>=12,1,44,NON,e.>40,4,Maxi,5380
c.26-35,a.0-3,1,44,OUI,c.11-20,1,Maxi,22649
e.51-69,c.>=12,1,44,OUI,e.>40,1,Medi,34830
d.36-50,a.0-3,1,44,NON,c.11-20,3,Maxi,41564
f.>=70,c.>=12,1,44,OUI,e.>40,2,Medi,76221
c.26-35,a.0-3,1,44,OUI,c.11-20,5,Maxi,86513
c.26-35,c.>=12,1,44,OUI,b.6-10,2,Medi,89515
c.26-35,b.4-11,1,44,OUI,c.11-20,1,Maxi,101184
e.51-69,c.>=12,1,44,OUI,e.>40,2,Medi,123372
d.36-50,b.4-11,1,44,OUI,c.11-20,2,Medi,128477
f.>=70,a.0-3,1,44,NON,e.>40,1,Maxi,141064
f.>=70,a.0-3,1,44,OUI,e.>40,3,Maxi,153895
f.>=70,a.0-3,1,44,NON,e.>40,1,Maxi,159792
d.36-50,b.4-11,1,44,OUI,c.11-20,2,Maxi,190869
d.36-50,b.4-11,1,44,NON,e.>40,1,Maxi,212903
f.>=70,a.0-3,1,44,OUI,e.>40,1,Maxi,215741
e.51-69,b.4-11,1,44,NON,e.>40,2,Maxi,219850
f.>=70,b.4-11,1,45,NON,e.>40,5,Maxi,26615
f.>=70,b.4-11,1,45,OUI,e.>40,2,Maxi,52305
d.36-50,b.4-11,1,45,NON,e.>40,1,Maxi,57758
e.51-69,b.4-11,1,45,NON,e.>40,5,Maxi,72474
c.26-35,b.4-11,1,45,OUI,c.11-20,3,Medi,73415
b.21-25,c.>=12,1,45,NON,a.<=5,3,Medi,78273
d.36-50,b.4-11,1,45,NON,c.11-20,3,Medi,86960
f.>=70,a.0-3,1,45,OUI,e.>40,4,Maxi,93914
